Program,Typ,Deadline,Belopp (SEK),Passform,Status,Ansökan färdig %,Nästa steg,Anteckningar,Länk,Kontaktperson
MSB - Psykologiskt försvar,Statligt bidrag,2026-03-15,2 000 000 - 5 000 000,🟢 Perfekt match,📝 Planeras,0%,Kontakta MSB för vägledning,TAK-405 passar direkt - civilförsvarspsykologi,https://www.msb.se/,[TBC]
Vinnova - Challenge-driven innovation,Statligt bidrag,2026-02-28,500 000 - 3 000 000,🟡 Bra match,📝 Planeras,0%,Läs utlysningstext när publicerad,Kräver samarbete med minst 1 företag + 1 organisation,[TBC],[TBC]
EU Horizon Europe - Wellbeing Economy,EU-bidrag,2026-04-30,5 000 000 - 15 000 000,🟢 Perfekt match,📝 Planeras,0%,Identifiera europeiska partners,TAK-405 + Hearts-valuta passar wellbeing-fokus,[TBC],[TBC]
Kulturrådet - Demokrati och delaktighet,Statligt bidrag,2026-03-01,300 000 - 1 000 000,🟡 Bra match,📝 Planeras,0%,Undersök kriterier,Bioregional demokrati-aspekt,https://www.kulturradet.se/,[TBC]
Allmänna Arvsfonden,Statligt bidrag,Löpande,500 000 - 5 000 000,🟡 Bra match,💡 Idé,0%,Kontakta för rådgivning,Kräver ideell förening,https://www.arvsfonden.se/,[TBC]
Familjen Kamprads stiftelse,Privat stiftelse,Löpande,500 000 - 2 000 000,🟡 Bra match,💡 Idé,0%,Undersök ansökningsprocess,Fokus: samhällsinnovation,[TBC],[TBC]
Wallenberg Foundation - Research,Privat stiftelse,Årlig omgång,1 000 000 - 10 000 000,🟠 Svag match,💡 Idé,0%,Kräver akademisk partner,Mer forskningsinriktad än praktisk implementering,[TBC],[TBC]
Postcode Foundation,Privat stiftelse,Löpande,1 000 000 - 5 000 000,🟡 Bra match,💡 Idé,0%,Undersök kriterier,Klimat och hållbarhet,[TBC],[TBC]
Stockholm Innovation & Growth,Kommunalt,Varierande,200 000 - 1 000 000,🟡 Bra match,💡 Idé,0%,Kontakta STING,Lokala innovationsprojekt,[TBC],[TBC]
Tillväxtverket - Regional utveckling,Statligt bidrag,Varierande,500 000 - 3 000 000,🟠 Svag match,💡 Idé,0%,Undersök regionala program,Mer företagsinriktat,[TBC],[TBC]
,,,,,,,,,
ANSÖKNINGSSTATUS-SYMBOLER:,,,,,,,,,
✅ Inskickad - Väntar på svar,,,,,,,,,
📝 Planeras - Draftar ansökan,,,,,,,,,
💡 Idé - På radarn men ej påbörjad,,,,,,,,,
❌ Nekad - Fick nej,,,,,,,,,
⏸️ Pausad - Väntar på rätt tidpunkt,,,,,,,,,
🎯 Beviljad! - Fick ja,,,,,,,,,
,,,,,,,,,
PASSFORM-SYMBOLER:,,,,,,,,,
🟢 Perfekt match - GGF passar kriterier exakt,,,,,,,,,
🟡 Bra match - Kan anpassas för att passa,,,,,,,,,
🟠 Svag match - Kräver stor anpassning,,,,,,,,,
🔴 Ingen match - Passar inte,,,,,,,,,
,,,,,,,,,
PRIORITERADE ANSÖKNINGAR Q1 2026:,,,,,,,,,
1. MSB Psykologiskt försvar,Deadline 2026-03-15,TAK-405 direktmatch,,,,,,
2. Vinnova Challenge-driven,Deadline 2026-02-28,Kräver företagspartner,,,,,,
3. EU Horizon Wellbeing,Deadline 2026-04-30,Längre ansökan - börja tidigt,,,,,,
,,,,,,,,,
BACKUP-ALTERNATIV (om Q1 misslyckas):,,,,,,,,,
- Kulturrådet (Mars),,,,,,,,,
- Allmänna Arvsfonden (Löpande),,,,,,,,,
- Privata stiftelser (Kamprads/Postcode),,,,,,,,,
,,,,,,,,,
KRAV SOM ÅTERKOMMER:,,,,,,,,,
- Juridisk person (org.nr) - ALLA offentliga bidrag,,,,,,,,,
- Samfinansiering 10-30% - Många program,,,,,,,,,
- Akademisk/kommunal partner - EU och vissa Vinnova,,,,,,,,,
- Ideell förening - Arvsfonden och vissa kulturstöd,,,,,,,,,
,,,,,,,,,
STRATEGISKA ANTECKNINGAR:,,,,,,,,,
"- MSB är högsta prioritet: TAK-405 är redan skriven, passar perfekt, statlig legitimitet",,,,,,,,,
"- EU Horizon tar längst tid (6+ månader från ansökan till beslut), starta snarast",,,,,,,,,
"- Vinnova kräver företagspartner - fråga Elias om hans företag kan vara formell partner, alt. TOMLAB?",,,,,,,,,
"- Letter of Intent från kommun stärker ALLA ansökningar - prioritera detta före mars",,,,,,,,,
"- Om vi får MSB-bidrag (2-5M), kan det räcka för hela 2026-2027. De andra blir backup.",,,,,,,,,
